args,ppl_mean,ppl_std,exit_points_mean,exit_points_std
"{'ee_softmax_threshold': [0.9672302007675171, 0.9421308040618896, 0.9229063987731934, 0.90818190574646, 0.8969039916992188, 0.88826584815979, 0.8816496729850769, 0.876582145690918, 0.8727007508277893, 0.8697279095649719, 0.8674508929252625, 0.8657068610191345, 0.8643710613250732, 0.8633479475975037, 0.8625642657279968]}",5.8978,2.4513,10.2682,5.5349
"{'ee_softmax_threshold': [0.9648894667625427, 0.9379972219467163, 0.9173997044563293, 0.9016234278678894, 0.8895399570465088, 0.8802847862243652, 0.8731960654258728, 0.8677665591239929, 0.8636079430580139, 0.8604227304458618, 0.8579830527305603, 0.8561145067214966, 0.8546832799911499, 0.8535870313644409, 0.8527474403381348]}",5.9003,2.4468,10.1131,5.5381
"{'ee_softmax_threshold': [0.9625487327575684, 0.9338636994361877, 0.9118930101394653, 0.8950649499893188, 0.882175862789154, 0.8723037242889404, 0.8647423982620239, 0.8589509129524231, 0.8545150756835938, 0.8511174917221069, 0.8485152125358582, 0.8465220332145691, 0.8449954390525818, 0.8438261151313782, 0.8429305553436279]}",6.0148,2.5566,10.0383,5.5495
"{'ee_softmax_threshold': [0.960207998752594, 0.9297301769256592, 0.9063862562179565, 0.8885064721107483, 0.8748118281364441, 0.8643227219581604, 0.8562887907028198, 0.850135326385498, 0.8454222679138184, 0.8418123722076416, 0.8390474319458008, 0.8369296789169312, 0.8353076577186584, 0.8340652585029602, 0.8331137299537659]}",6.0721,2.5654,9.8887,5.5719
"{'ee_softmax_threshold': [0.9578672647476196, 0.9255965948104858, 0.9008795619010925, 0.8819480538368225, 0.8674478530883789, 0.8563417196273804, 0.8478351831436157, 0.8413197994232178, 0.836329460144043, 0.8325071930885315, 0.8295796513557434, 0.8273373246192932, 0.8256198763847351, 0.8243044018745422, 0.8232969045639038]}",6.0609,2.5485,9.8011,5.5596
"{'ee_softmax_threshold': [0.95552659034729, 0.9214630722999573, 0.8953728675842285, 0.875389575958252, 0.860083818435669, 0.8483606576919556, 0.8393815755844116, 0.8325042128562927, 0.8272366523742676, 0.8232020139694214, 0.8201118111610413, 0.8177449703216553, 0.8159320950508118, 0.8145435452461243, 0.813480019569397]}",6.0878,2.5882,9.7263,5.5664
"{'ee_softmax_threshold': [0.9531858563423157, 0.9173295497894287, 0.8898661136627197, 0.8688310980796814, 0.8527197241783142, 0.8403795957565308, 0.8309279084205627, 0.8236885666847229, 0.8181437849998474, 0.8138968348503113, 0.8106439709663391, 0.8081524968147278, 0.8062442541122437, 0.8047826290130615, 0.8036631345748901]}",6.1041,2.5834,9.6569,5.5586
"{'ee_softmax_threshold': [0.9508451223373413, 0.9131959676742554, 0.8843594193458557, 0.8622726202011108, 0.845355749130249, 0.832398533821106, 0.8224743008613586, 0.8148729801177979, 0.809050977230072, 0.8045916557312012, 0.8011761903762817, 0.7985601425170898, 0.7965564727783203, 0.7950217723846436, 0.7938463091850281]}",6.1019,2.5806,9.5766,5.5531
"{'ee_softmax_threshold': [0.9485044479370117, 0.9090624451637268, 0.8788527250289917, 0.8557142019271851, 0.8379917144775391, 0.8244175314903259, 0.8140206933021545, 0.8060574531555176, 0.7999581694602966, 0.7952865362167358, 0.7917084097862244, 0.7889677882194519, 0.786868691444397, 0.7852609157562256, 0.784029483795166]}",6.1054,2.5831,9.5146,5.5457
"{'ee_softmax_threshold': [0.9461637139320374, 0.9049289226531982, 0.8733460307121277, 0.8491557240486145, 0.8306276798248291, 0.8164365291595459, 0.8055670857429504, 0.7972418665885925, 0.7908653020858765, 0.7859813570976257, 0.7822405695915222, 0.779375433921814, 0.7771809101104736, 0.7755000591278076, 0.774212658405304]}",6.18,2.6443,9.427,5.5663
